25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\

26276:他\不\适合\教\英语\;\他\没有\教\英语\的\资格\.\
#He is unqualified to teach English.
弊绰 康绢甫 啊福摹扁俊 利寸窍瘤 臼促. 弊绰 康绢甫 啊福磨 磊拜捞 绝促.

26277:他\不\听\母亲\的\劝告\,\参加\了\那\次\聚会\.\
#He disobeyed his mother and went to the party.
弊绰 绢赣聪狼 鼻绊甫 佃瘤 臼绊 弊 葛烙俊 曼啊沁促.

26278:他\不\习惯\于\飞行\,\所以\他\坐\飞机\时\精神\紧张\.\
#He's unused to flying,so he was nervous in the plane.
弊绰 厚青俊 嚼包捞 登绢 乐瘤 臼酒辑, 弊绰 厚青扁福 呕 锭 沥脚捞 变厘等促.

26279:他\不\喜欢\那些\食物\,\但\还是\勉强\吞\咽\下去\.\
#He didn't like the food but he managed to choke it down.
弊绰 弊矾茄 澜侥阑 亮酒窍瘤 臼瘤父, 撅瘤肺 伙淖促.

26280:他\不\信任\银行\,\所以\把\钱\放\在家里\.\
#He distrusts banks so he keeps his money at home.
弊绰 篮青阑 瓜瘤 给秦辑, 捣阑 笼俊 滴菌促.

26281:他\不\愿意\为\这么\糟\的\食物\付\那么\多\钱\.\
#He grudged paying so much for such bad food.
弊绰 捞矾茄 屈祈绝绰 澜侥俊 弊犯霸 腹篮 捣阑 瘤阂窍绊 酵瘤 臼疽促.

26282:他\不\知道\她\是\如此\好的\钢琴\演奏\者\.\
#He was unaware that she was such a good pianist.
弊绰 弊赤啊 捞矾茄 惹涪茄 乔酒畴 楷林磊牢 巴阑 舅瘤 给沁促.

26283:他\不住\地\赞扬\自己\那\辆\新\汽车\的\好处\.\
#He keeps extolling the merits of his new car.
弊绰 磊脚狼 弊 货 瞒狼 亮篮 痢阑 浆瘤 臼绊 莫蛮沁促.

26284:他\不\准备\明确\答复\,\以免\受到\约束\.\
#He is not going to be nailed down to a definite reply.
弊绰 备加罐绰 巴阑 乔窍妨绊 疙犬茄 措翠阑 窍妨窍瘤 臼绰促..

26285:他\采取\法律\行动\来\制止\邻居\如此\吵闹\.\
#He took legal action to stop his neighbours making so much noise.
弊绰 过伏 青悼阑 秒秦辑 捞眶甸捞 捞犯霸 轿快绰 巴阑 力瘤沁促.

26286:他\采取\跟\我\不同\的\方法\处理\那\件\事\.\
#He took a different approach to it than I did.
弊绰 促弗 规过阑 琶秦辑 弊 老阑 贸府沁促.

26287:他\参加\了\横渡\长江\的\群众性\游泳\活动\.\
#He went in for the mass swim across the Changjiang River.
弊绰 剧磊碍阑 染窜窍绰 焙吝利 荐康 劝悼俊 曼啊沁促.

26288:他\残酷\地\对待\孩子\,\使\我\非常\愤怒\.\
#His cruelty to his children makes my blood boil.
弊绰 儡趣窍霸 酒捞甫 措秦辑 唱肺 窍咯陛 措窜洒 盒畴纳 茄促.

26289:他\插嘴\说\:\"\我\初次\和\他\见面\就是\在\这儿\.\"\
#"It was here," he cut in,"that I first met him."
弊绰 尝绢甸绢 富沁促. " 郴啊 贸澜俊 弊客 父抄 巴篮 官肺 咯扁俊辑捞促."

26290:他\查阅\词典\以\了解\那个\词\的\确切\意思\.\
#He referred to the dictionary to get the exact meaning of the word.
弊绰 荤傈阑 茫酒辑 弊 窜绢狼 疙犬茄 舵阑 捞秦沁促.

26291:他\常常\什么\事\也\不\做\,\一\坐\就\好几\小时\.\
#He would sit for hours doing nothing.
弊绰 亲惑 酒公 老档 窍瘤 臼栏搁辑, 茄 锅 旧疽促窍搁 割 矫埃悼救捞促.

26292:他\常常\威吓\较\小\的\孩子\替\他\做\事情\.\
#He was always bullying smaller boys into doing things.
弊绰 亲惑 厚背利 累篮 酒捞甸阑 困蛆秦辑 弊甫 措脚秦辑 老阑 窍霸 茄促.

26293:他\常常\想起\解放\前\那些\悲惨\的\日子\.\
#His mind often fell on those miserable days before liberation.
弊绰 亲惑 秦规 傈 弊 厚曼沁带 朝甸阑 惑扁沁促.

26294:他\常常\以\施\惠\的\态度\帮助\朋友\做\功课\.\
#He often condescended to help his friend with his homework.
弊绰 亲惑 篮驱甫 海仟绰 怕档肺 模备甸捞 槛力窍绰 巴阑 到绰促.

26295:他\朝\那个\方向\一\看\,\看见\一\架\飞机\.\
#He looked in that direction and saw an airplane.
弊绰 弊 规氢 率栏肺 茄 锅 焊疽绊, 厚青扁 茄 措甫 焊疽促.

26296:他\扯\掉\衣服\,\跃\入\河\中\去\拯救\那\溺水\的\男孩\.\
#He tore off his clothes and jumped into the river to save the boy from drowning.
弊绰 渴阑 迈绢滚府绊 拱 加栏肺 顿绢甸绢啊辑 弊 拱俊 狐柳 巢磊 酒捞甫 备沁促.

26297:他\成功\的\原因\不\难找\,\那\就是\他\勤奋\工作\.\
#The reason for his success is not far to seek he worked hard.
弊啊 己傍茄 盔牢篮 茫扁 绢妨款 巴捞 酒聪扼, 弊巴篮 官肺 弊啊 凯缴洒 老茄 巴捞促.

26298:他\成功\地\把\野鸭\引诱\到\他的\隐藏\处\.\
#He succeeded in decoying the ducks toward his blind .
弊绰 己傍利栏肺 甸坷府甫 弊狼 篮脚贸肺 缠绢甸看促.

26299:他\成天\和\一\个\叫\胡\克\的\家伙\厮\混\在一起\.\
#He always shaped in with a guy named Hooker.
弊绰 辆老 饶目扼绊 阂府绰 仇苞 窃膊 丑窍哥 瘤辰促.

26300:他\成为\牧师\并且\一直\担任\这样\的\工作\.\
#He became a clergyman and remained so.
弊绰 格荤啊 登菌阑 挥父 酒聪扼 临梆 捞矾茄 老阑 淬寸茄促.

26301:他\承认\事故\的\发生\是因为\他的\疏忽\.\
#He acknowledged that the accident was due to his negligence.
弊绰 荤绊狼 惯积捞 弊狼 何林狼 锭巩捞扼绰 巴阑 牢沥沁促.

26302:他\承认\偷\了\我的\皮包\,\这\使\我\大吃一惊\.\
#His confession that he had stolen my wallet was a great shock to me.
弊绰 唱狼 啊规阑 壬模 巴阑 牢沥沁绊, 捞巴篮 唱肺 窍咯陛 农霸 愁扼霸 沁促.

26303:他\承认\自己\有错\而\使\其\馀\的\人\免\於\受\罚\.\
#His admission that he was to blame kept the others from being punished.
弊绰 磊脚捞 肋给捞 乐促绰 巴阑 牢沥秦辑 弊 唱赣瘤 荤恩甸肺 窍咯陛 国阑 罐绰 巴阑 搁窍霸 沁促.

26304:他\吃\了\晚饭\以后\,\他\就\去\拜访\你\了\.\
#He went to call on you after he had had dinner.
弊绰 历翅逛阑 冈篮 饶俊 梆 呈甫 规巩窍矾 艾促.

26305:他\吃\完\面包\後\,\去\外套\上\的\面包\屑\.\
#After eating the loaf he whisked the crumbs off his coat.
弊绰 户阑 促 冈篮 饶俊, 寇捧 困狼 户 何胶矾扁甫 判菌促.

26306:他\充分\意识到\这\一\工作\的\种种\危险\.\
#He was alive to the dangers of the work.
弊绰 捞 老狼 阿辆 困氰阑 面盒洒 牢侥窍绊 乐促.

26307:他\抽出\一\条\手帕\把\受伤\的\指头\包扎\起来\.\
#He whipped out a handkerchief to bind up his injured finger.
弊绰 颊荐扒阑 波郴辑 惑贸抄 颊啊遏阑 皑秸促.

26308:他\出国\的\机会\没有\了\;\他\失去\出国\的\机会\.\
#The chance of his going abroad is lost.
弊狼 免惫 扁雀啊 绝绢脸促. ; 弊绰 免惫 扁雀甫 酪绢滚啡促.

26309:他\出\尽\所有\交际\手段\才\平息\了\他们的\争吵\.\
#He needed all his diplomacy to settle their quarrel.
弊绰 葛电 背力 荐窜阑 促 结辑具 弊甸狼 轿框阑 柳沥矫淖促.

26310:他\出身\低微\,\后来\经过\努力\而\取得\成功\.\
#He started life at the bottom of the ladder and worked his way up to success.
弊绰 免脚篮 固玫沁瘤父, 唱吝俊 畴仿秦辑 己傍阑 芭滴菌促.

26311:他\出神\地\凝望\着\这些\建筑\和\熙熙攘攘\的\街道\.\
#He drank in the buildings and the streets full of hurrying people.
弊绰 倔捞 狐柳 淀 捞 呼爹甸苞 空贰啊 后锅茄 锅拳茄 矫啊瘤甫 林矫窍绊 乐菌促.

26312:他\出生\于\一\个\历史\悠久\的\演员\世家\.\
#He comes from a long line of actors.
弊绰 开荤啊 坷贰等 楷扁磊 啊巩俊辑 免积沁促.

26313:他\除了\日常\工作\外\,\还\为\报纸\写\稿\.\
#He writes for the newspaper on top of his regular job.
弊绰 老惑利牢 诀公 寇俊 肚 脚巩俊 盔绊甫 敬促.

26314:他\穿着\破旧\的\脏\衣服\,\显出\一\副\可怜\的\样子\.\
#He was a sorry sight in his dirty old clothes.
弊绰 嘲酒狐柳 歹矾款 渴阑 涝绊 乐绢辑 啊访茄 葛嚼栏肺 焊看促.

26315:他\创造\的\价值\最后\全\进\了\他\老板\的\腰包\.\
#Every value he created ultimately redounded to his boss.
弊啊 芒免茄 啊摹绰 搬惫 傈何 弊狼 荤厘狼 林赣聪肺 甸绢艾促.

26316:他\创造\了\马拉松赛跑\的\全国\新\记录\.\
#He set up a new national record in the marathon race.
弊绰 付扼沛 版林狼 傈惫 脚扁废阑 技奎促.

26317:他\聪明\,\但\不会\有\成就\,\因为\他\缺少\干劲\.\
#He's clever but he won't succeed because he lacks drive.
弊绰 醚疙窍瘤父 己傍且 府 绝促. 恐衬窍搁 弊绰 眠柳仿捞 何练窍扁 锭巩捞促.

26318:他\匆匆\地\赶\在\一\辆\汽车\前面\穿过\了\马路\.\
#He hurried across the road in front of a car.
弊绰 炔鞭洒 磊悼瞒 菊俊辑 茄辨阑 啊肺龙矾 顿绢艾促.

26319:他\匆匆\翻阅\报纸\,\但是\找\不到\要\找\的\东西\.\
#He flipped through the papers but could not find what he was looking for.
弊绰 炔鞭洒 脚巩阑 第利看瘤父 茫绊磊 窍绰 巴阑 茫瘤 给沁促.

26320:他\匆\促\地\在\打字机\上\拟\出\了\这个\文件\的\初稿\.\
#He batted out on the typewriter the first draft of the document.
弊绰 炔鞭洒 鸥磊扁肺 捞 辑幅狼 檬救阑 累己沁促.

26321:他\从不\感到\满足\,\总是\抱怨\这\,\抱怨\那\.\
#He's never satified; he always has some moan or another.
弊绰 捞力帛 父练茄 利捞 绝捞, 疵 捞巴阑 盔噶窍绊 历巴阑 盔噶茄促.

26322:他\从不\让\他的\孩子们\走\到\他\看\不见\的\地方\.\
#He never lets his children out of his sight.
弊绰 捞力帛 弊狼 酒捞甸肺 窍咯陛 弊啊 杭 荐 绝绰 镑俊 啊霸 茄 利捞 绝促.

26323:他\从\窗口\摔\下去\,\但\并没有\怎么\受伤\.\
#He's none the worse for his fall from the window.
弊绰 芒俊辑 冻绢脸瘤父 绢恫 何惑档 寸窍瘤 臼疽促.

26324:他\从\床\上\跳\下来\,\在\房间\里\东\找\西\找\.\
#He leaped out of his bed and looked about the room.
弊绰 魔措俊辑 顿绢郴妨客辑 规 救 咯扁历扁甫 茫疽促.

26325:他\从\各方面\找\人\拼凑\成\一\支\足球\队\.\
#He scratched up a football team from various sources.
弊绰 阿 规搁俊辑 荤恩甸阑 痹钦秦辑 绵备评阑 窍唱 父甸菌促.

26326:他\从\火炉\边\的\椅子\里\懒\洋洋\地\站起来\.\
#He hulked up from his chair by the hearth.
弊绰 抄肺 糠狼 狼磊俊辑 付澜捞 郴虐瘤 臼篮 淀捞 老绢车促.

26327:他\从\旧\子\抓\起\一\把\尺\就\向\那个\人\打\去\.\
#He made at the man with a ruler snatched from the table.
弊绰 氓惑 困俊辑 磊 窍唱甫 棱绊辑绰 弊 荤恩俊霸 带脸促.

26328:他\从来不\让\人\来\打扰\他的\日常\工作\.\
#He never lets anyone come between him and his daily work.
弊绰 辆贰 巢栏肺 窍咯陛 弊狼 老惑利牢 诀公甫 规秦窍霸阐 窍瘤 臼绰促.

26329:他\从来\没有\遭到\过\如此\粗鲁\的\拒绝\.\
#He has never been brushed off so rudely before.
弊绰 辆贰 捞鞍篮 公肥茄 芭例阑 罐酒夯 利捞 绝促.

26330:他\从\另\一\条\路\折\了\回来\,\吓\了\我们\一\跳\.\
#He doubled back by another road and surprised us.
弊绰 促弗 辨俊辑 勃绢倒酒客辑, 快府甫 愁扼霸 沁促.

26331:他\从\每次\失败\中\学到\了\某些\新\的\东西\.\
#From each failure he learned something new.
弊绰 概锅狼 角菩俊辑 绢恫 货肺款 巴阑 硅奎促.

26332:他\从\那\本文\法书\中\引用\了\许多\例子\.\
#He has extracted a great many examples from the grammar book.
弊绰 弊 巩过氓俊辑 腹篮 抗甫 牢侩沁促.

26333:他\从前\常常\一\看书\就是\好几个\小时\.\
#He used to read by the hour.
弊绰 辆傈俊 亲惑 氓阑 焊狙促窍搁 割 矫埃究捞菌促.

26334:他\从容\不\迫\地\站\起身\来\从\房间\里\走\了\出去\.\
#He stood up in a deliberate way and left the room.
弊绰 怕楷磊距窍霸 个阑 老栏难辑 规俊辑 吧绢唱艾促.

26335:他\从\我的\身边\走\过\,\连\个\招呼\也\没\打\.\
#He walked right past me without even acknowledging me.
弊绰 郴 扮阑 瘤唱啊搁辑 牢荤炼瞒 窍瘤 臼疽促.

26336:他\从\一\个\害羞\的\人\转变\为\出色\的\政治家\.\
#He changed from a shy person into quite a politician.
弊绰 何掺烦鸥绰 荤恩俊辑 顿绢抄 沥摹啊肺 函葛登菌促.

26337:他\从\政府\发行\的\白皮书\中\搜集\了\这些\事实\.\
#He gleaned these facts from government white papers.
弊绰 沥何啊 惯青茄 归辑俊辑 捞矾茄 荤角甸阑 荐笼沁促.

26338:他\从\自己\搜集\的\证据\中\推断\出\事实\.\
#He inferred the fact from the evidence he had gathered.
弊绰 磊脚捞 荐笼茄 刘芭俊辑 荤角阑 眠沸沁促.

26339:他\从\自行车\上\跌\下来\,\脑\受\了\震荡\.\
#He's suffering from concussion after falling off his bicycle.
弊绰 磊傈芭俊辑 冻绢廉辑 锄柳帕捞 登菌促.

26340:他\从\自行车\上\摔\下来\,\但\没有\出\什么\事\.\
#He came off the bike but nothing serious happened.
弊绰 磊傈芭俊辑 冻绢脸瘤父, 酒公 老档 老绢唱瘤 臼疽促.

26341:他\从\最高\一\层\书架\上\把\书\取\了\下来\.\
#He lifted the books down from the top shelf.
弊绰 啊厘 臭篮 氓踩捞俊辑 氓阑 波郴辑 郴妨吭促.

26342:他\粗略\地\勾\出\了\他\设想\中\图案\的\曲线\.\
#He roughed in the curves he intended his pattern to take.
弊绰 俺帆利栏肺 弊啊 备惑窍绊 乐绰 档救狼 邦急阑 弊啡促.

26343:他\答应\去\,\可是\在\最后\一\分钟\又\反悔\了\.\
#He promised to go,but at the last minute he copped out.
弊绰 啊扁肺 距加沁瘤父 付瘤阜 老盒俊 促矫 饶雀沁促.

26344:他\打扮\得\漂\漂亮\亮\,\叫\人\照\了\一\张\相\.\
#He slicked up and had a photo taken.
弊绰 酒林 抗悔霸 摹厘窍绊 促弗 荤恩俊霸 荤柳阑 茄 厘 嘛霸 沁促.

26345:他\打电话\给\家\里\了解\发生\了\什么\事情\.\
#He rang in to find out what had happened.
弊绰 笼俊 傈拳甫 吧绢辑 公郊 老捞 惯积沁绰瘤 舅霸 登菌促.

26346:他\打断\别人\的\话\来\发表\自己的\观点\.\
#She broke in with some ideas of her own.
弊绰 促弗 荤恩狼 富阑 谗绢辑 磊脚狼 包痢阑 惯钎沁促.

26347:他\打架\赢\了\以后\,\在\街\上\昂首\阔步\地\走\.\
#He swaggered down the street after winning the fight.
弊绰 轿况辑 捞变 饶俊 芭府俊辑 赣府甫 媚甸绊 劝焊窍哥 吧绢艾促.

26348:他\打开\窗子\,\试图\使\房\中\的\烟\消散\.\
#He tried to dissipate the smoke by opening a window.
弊绰 芒阑 凯绢辑 笼 救狼 楷扁甫 绝局妨绊 沁促.

26349:他\打\牌\老是\作弊\,\我\从来不\和\他\一起\打\.\
#He always cheats at cards; I never play with him.
弊绰 墨靛甫 且 锭 疵 加烙荐甫 结辑 唱绰 辆贰 弊客 窃膊 茄 利捞 绝促.

26350:他\打算\在\业余\时间\安排\一些\骑马\活动\.\
#He intended to get in some horse riding in his spare time.
弊绰 咯啊 矫埃俊 铰付 劝悼阑 粱 救硅窍妨绊 茄促.

26351:他\待\在\屋\外\,\一直\到\开始\下雨\为止\.\
#He stayed outdoors until it began to rain.
弊绰 厚啊 坷扁 矫累且 锭鳖瘤 笼 观俊辑 扁促啡促.

26352:他\当\逃\兵\的\事\使\他的\家庭\受\了\耻辱\.\
#His desertion from the army brought dishonour on his family.
弊绰 呕林捍捞 等 巴篮 弊狼 啊沥栏肺 窍咯陛 荐摹甫 罐霸 沁促.

26353:他\倒\增长\了\气力\,\可惜\没有\增长\智力\.\
#He has certainly grown in strength,but not ,unfortunately.in wisdom.
弊绰 局籍窍霸档 瘤仿阑 刘啊窍瘤 给窍绊, 扁仿阑 刘啊矫淖促.

26354:他\祷告\他\不会\被\任何\认识\他的\人\看到\.\
#He prayed that he would not be seen by anybody who knew him.
弊绰 弊啊 弊甫 酒绰 穿备俊霸档 焊咯瘤瘤 臼扁甫 扁档沁促.

26355:他\到\长\岛\去\,\在那儿\他\可以\躲藏\一\两\天\.\
#He went to Long Island,where he might hole in for a day or two.
弊绰 Long Island 俊 艾绊, 芭扁俊辑 弊绰 窍风 捞撇 见阑 荐 乐促.

26356:他\到处\露脸\,\只是\不在\他\该\在\的\地方\.\
#He is everywhere except where he ought to be.
弊绰 弊啊 乐绢具 且 镑俊绰 乐瘤 臼绊 档贸俊 倔奔阑 郴剐菌促.

26357:他\到处\寻找\一\家\深夜\尚未\关门\的\商店\.\
#He scouted around for a shop that was open late.
弊绰 档贸俊辑 缴具俊 酒流 巩阑 摧瘤 臼篮 惑痢阑 茫疽促.

26358:他\到\一\家\著名\的\医院\去\接受\一\个\疗程\.\
#He went for a cure at a famous hospital.
弊绰 茄 蜡疙茄 捍盔俊 啊辑 摹丰 苞沥阑 罐疽促.

26359:他\到\银行\去\把\支票\存\入\了\存款\帐户\.\
#He went to the bank and paid the cheque in.
弊绰 篮青俊 啊辑 荐钎甫 历陛 烹厘俊 涝陛沁促.

26360:他\得到\那个\职位\是因为\他\有\上层\的\人\帮忙\.\
#He only got the job because he had friends in high places.
弊啊 弊 流困甫 掘篮 巴篮 弊啊 臭篮 荤恩狼 档框捞 乐菌扁 锭巩捞促.

26361:他\得了\第\几\名\?\第\二\名\还是\第\三\名\?\
#Where did he come in -- second or third?
弊绰 割 殿阑 窍看聪? 捞殿捞聪 酒聪搁 伙殿捞聪?

26362:他的\背景\使\他\抱\有\反对\外国人\的\偏见\.\
#His background biases him against foreigners.
弊狼 硅版篮 弊肺 窍咯陛 寇惫牢阑 馆措窍绰 祈斑阑 啊瘤霸 沁促.

26363:他的\病因\肺炎\并发\症\而\变\得\更\严重\.\
#His disease was complicated by pneumonia.
弊狼 捍篮 企放 饶蜡刘栏肺 歹 缴阿窍霸 等 巴捞促.

26364:他的\藏书\量\兴\镇\上\图书馆\不相上下\.\
#His collection of books was commensurate with that of a town library.
弊狼 厘辑樊篮 矫郴 档辑包苞 阜惑阜窍捞促.

26365:他的\沉默\表示\他\不\愿意\担任\那\件\工作\.\
#His silence was indicative that he was unwilling to undertake the work.
弊狼 魔宫篮 弊啊 弊 老阑 淬寸窍绊 酵瘤 臼促绰 巴阑 唱鸥辰促.

26366:他的\成功\是因为\经\介质\晋见\了\总统\.\
#His introduction to the President was the making of him.
弊狼 己傍篮 概眉甫 烹秦 措烹飞阑 舅泅沁扁 锭巩捞促.

26367:他的\粗鲁\恰好\使\她的\彬彬有礼\显得\更为\突出\.\
#His rudeness just points up her good manners.
弊狼 公肥窃捞 官肺 弊赤狼 抗狼官抚阑 歹宽 顿绢唱 焊捞霸 沁促.

26368:他的\错误\使\他\没有\能\完成\生产\计划\.\
#His mistake resulted in a failure to fullfill his production plan.
弊狼 馒坷绰 弊肺 窍咯陛 积魂 拌裙阑 肯己且 荐 绝霸陛 沁促.

26369:他的\当选\于\所有\有关\人士\都\觉得\很\满意\.\
#His election was a great satisfaction to all concerned.
弊狼 寸急篮 葛电 包访 牢荤甸阑 促 酒林 父练胶反霸 沁促. 

26370:他的\地产\作\了\高\额\抵押\,\为此\承担\沈\重\债务\.\
#His estate is encumbered with a heavy mortgage.
弊狼 何悼魂篮 绊咀栏肺 历寸棱躯促. 捞 锭巩俊 公芭款 盲何甫 瘤霸 登菌促.

26371:他的\第\二\次\叙述\和\第一次\有\明显\出入\.\
#His second account markedly departed from the first.
弊狼 滴 锅掳 辑贱篮 霉 锅掳 辑贱苞 堆非捞 瞒捞啊 抄促.

26372:他的\第\一\位\妻子\为\他\生\了\一\个\孩子\.\
#He had a child by his first wife.
弊狼 霉 锅掳 何牢篮 弊甫 困秦 酒捞甫 窍唱 澈疽促.

26373:他的\儿子\已\成长\为\一\个\健壮\勤劳\的\小伙子\.\
#His son has grown up into a sturdy hardworking young man.
弊狼 酒甸篮 捞固 扒厘窍绊 辟肺茄 俐篮捞啊 登菌促.

26374:他的\法语\及\英语\字汇\不如\他的\徵\兆\字汇\多\.\
#His French and English vocabularies are not as large as his German.
弊狼 橇尔胶绢 棺 康绢 绢戎樊篮 弊狼 刀老绢 绢戎父怒 腹瘤 臼促.

26375:他的\放荡\行为\是\他\父母\感到\悲伤\的\一\个\原因\.\
#His wild behaviour was a cause of grief to his parents.
弊狼 规帕茄 青悼篮 弊狼 何葛啊 鲍肺框阑 蠢尝绰 窍唱狼 盔牢捞促.

26376:他的\肺\很\虚弱\,\使\他\易于\感染\疾病\.\
#His weak chest predisposes him to illness.
弊狼 企绰 酒林 倾距秦辑 弊肺 窍咯陛 龙捍俊 奖霸 皑堪登霸 茄促.

26377:他的\服装\颜色\鲜艳\,\不\适宜\在\葬礼\上\穿\.\
#His bright clothes were not appropriate for a funeral.
弊狼 汗厘篮 祸彬捞 拳妨秦辑 厘肥侥厘俊 涝扁俊 利寸窍瘤 臼促.

26378:他的\父亲\打算\让\他\做\个\蔬菜\水果\商\.\
#His father intended to set him up as a greengrocer.
弊狼 何模篮 弊甫 盲家 苞老 惑牢阑 父甸 累沥捞促.

26379:他的\告别\演说\是\由\速记\转\译\而\成\的\.\
#His farewell speech was transcribed from shorthand notes.
弊狼 绊喊 楷汲篮 加扁荤啊 锅开阑 烹秦 茄 巴捞促.

26380:他的\各\本\著作\都\具有\某种\相似\之\处\.\
#His books all have a certain sameness about them.
弊狼 阿 历累拱甸篮 促 绢恫 厚搅茄 痢阑 啊瘤绊 乐促.

26381:他的\工作\过得去\,\但\他\还\能\做\得\更\快\一点\.\
#His work is all right but he could be faster.
弊狼 诀公绰 宝满篮单促啊 弊绰 粱 歹 弧府 且 荐 乐促.

26382:他的\画\使\他\每年\赚\进\两\万\英镑\的\收入\.\
#His pictures bring him 20,000 a year.
弊狼 弊覆篮 弊肺 窍咯陛 概斥 20000颇款靛狼 荐涝阑 国霸 秦 霖促.

26383:他的\画\在\表达\能力\方面\比不上\丹\尼\尔\.\
#His pictures cannot compete in expressive power with those of Daniel.
弊狼 弊覆篮 钎泅 瓷仿 规搁俊 乐绢辑 促聪郡苞 厚背且 荐 绝促.

26384:他的\话\大都\不可\全\信\,\他\想象\力\太\丰富\了\.\
#Much of what he says must be discounted; he imagines things.
弊狼 富篮 措何盒 肯傈洒 瓜阑 荐 し哈促. 弊绰 惑惑仿捞 呈公 浅何窍促.

26385:他的\话\进一步\证实\了\我们\早已\相信\的\事\.\
#His statement confirmed what we already believed.
弊狼 富篮 快府啊 捞固 瓜绊 乐绰 老篮 歹宽 角刘沁促.

26386:他的\话\意味着\该\计\画\应该\稍\作\变更\.\
#His remarks imported that some change should be made in the plans.
弊狼 富篮 捞 拌裙捞 炼陛 函版秦具 茄促绰 巴阑 狼固窍绊 乐促.

26387:他的\话\正\开始\对\这些\年轻\人\的\思想\产生\影响\.\
#What he said is beginning to operate on the minds of these young men.
弊狼 富篮 捞 俐篮捞甸狼 荤惑俊 康氢阑 老栏虐扁 矫累窍绊 乐促.

26388:他的\话\只不过\是\吓\人\的\空谈\,\伤害\不了\我们\.\
#His words were just idle threats; he can't harm us.
弊狼 富篮 窜瘤 荤恩阑 愁扼霸 窍绰 傍倾茄 富老 挥, 快府甫 秦磨 荐绰 绝促.

26389:他的\技术\确实\是\优秀\的\,\但\他\工作\得\太\慢\了\.\
#His skill is undeniable but he works too slowly.
弊狼 扁贱篮 犬角洒 快荐茄 巴捞瘤父, 弊绰 老窍绰 巴捞 概快 蠢府促.

26390:他的\计划\效果\适得其反\,\他的\钱\都\亏\掉\了\.\
#His plan backfired ,and he lost all his money.
弊狼 拌裙 瓤苞绰 沥馆措啊 登绢辑, 弊狼 捣篮 葛滴 酪绢滚啡促.

26391:他的\家属\在\这\山谷\中\已\居住\了\二\百\多年\.\
#His people have lived in this valley for over 200 years.
弊狼 啊练篮 捞 魂榜楼扁俊辑 国结 200咯 斥阑 芭林沁促.

26392:他的\假期\兴\我的\有\一部分\在\同一\时间\.\
#His vacation overlaps with mine.
弊狼 绒啊 扁埃苞 唱狼 巴篮 老何盒捞 悼老茄 矫埃俊 乐促.

26393:他的\健康\状况\已经\恶化\到\危险\的\地步\.\
#His health ran down to a dangerous level.
弊狼 扒碍 惑炔篮 捞固 困氰茄 瘤版啊瘤 厩拳登菌促.

26394:他的\建议\很\有\道理\,\我们\欣然\表示\赞同\.\
#As there is good reason in what he suggests ,we are glad enough to go along.
弊狼 扒狼绰 蚕 老府啊 乐栏骨肺, 快府绰 扁悔霸 蛮己阑 唱鸥陈促.

26395:他的\建议\无异于\说\这\件\工作\尚\有\改进\的\余地\.\
#His suggestion amounts to saying that there is still room for improvement in the work.
弊狼 扒狼绰 捞 老捞 酒流 俺急瞪 咯瘤啊 乐促绰 巴阑 富窍绰 巴苞 促抚捞 绝促.

26396:他的\讲话\中\处处\是\轻视\女王\的\言词\.\
#His speech was full of contemptuous remarks about the queen.
弊狼 捞具扁 加俊绰 镑镑付促 咯空阑 版矫窍绰 攫荤捞促.

26397:他的\讲课\涉及\到\语言\诸\方面\的\问题\.\
#His lecture covered various aspects of language.
弊狼 荐诀篮 攫绢狼 葛电 规搁狼 巩力俊 攫鞭登菌促.

26398:他的\脚\被\岩石\绊\了\一下\,\朝\前\跌\了\一\跤\.\
#His foot caught in a rock and he pitched forwards.
弊狼 惯篮 鞠籍俊 吧妨辑 菊栏肺 逞绢脸促.

26399:他的\脚\在\地板\上\到处\留下\了\脏\印\子\.\
#His feet left dirty marks all over the floor.
弊狼 惯篮 付风 困 档贸俊 歹矾款 惯磊惫阑 巢板促.

26400:他的\教导\对\我的\思路\发生\很\大\的\影响\.\
#His teaching exerted a great influence on my way of thinking.
弊狼 啊福魔篮 唱狼 积阿俊 措秦辑 酒林 奴 康氢阑 尝闷促.

26401:他的\经验\所\涉及\的\各\领域\难以\全部\列举\.\
#It would be difficult to list all the fields over which his experience ranges.
弊狼 版氰捞 攫鞭等 阿 康开篮 傈何 凯芭窍扁 绢菲促.

26402:他的\旧\女\友\在\他的\婚礼\上\大吵大闹\.\
#His old girlfriend made a scene at his wedding.
弊狼 烤 咯磊 模备绰 弊狼 搬去侥俊辑 具窜过籍阑 冻菌促.

26403:他的\举止\始终\是\属于\正人君子\的\模样\.\
#His demeanour has always been that of a perfect gentleman.
弊狼 青悼芭瘤绰 矫辆 牢拜磊狼 葛裹捞促.

26404:他的\慷慨\大方\弥补\了\他\行为\粗鲁\之\缺陷\.\
#His generosity balances his bad behavior.
弊狼 扁俺啊 乐绊 措裹窃篮 弊狼 青悼狼 公肥茄 搬窃阑 皋操绢 林菌促.

